Name,Meta Critic,Cost,Class,Country,Whiskey Type
Box (High Coast) PX - Pedro Ximénez Finish,8.86,$$$$$,SingleMalt-like,Sweden,Malt
Glen Garioch 1998 Wine Cask Matured,8.86,$$$$,SingleMalt-like,Scotland,Malt
Scallywag 13yo,8.86,$$$$,SingleMalt-like,Scotland,Malt
AnCnoc 1975,8.85,$$$$$+,SingleMalt-like,Scotland,Malt
Glenlivet Nadurra 16yo,8.85,$$$$,SingleMalt-like,Scotland,Malt
Smogen Sherry Project 1:2,8.85,$$$$,SingleMalt-like,Sweden,Malt
Amrut Kadhambam,8.84,$$$$,SingleMalt-like,India,Malt
BenRiach 18yo Latada,8.84,$$$$$,SingleMalt-like,Scotland,Malt
GlenDronach 12yo Sauternes Cask Finish,8.84,$$$$,SingleMalt-like,Scotland,Malt
GlenDronach Cask Strength (batch 6),8.84,$$$$,SingleMalt-like,Scotland,Malt
Deanston 2008 Bordeaux Red Wine Cask Matured,8.83,$$$$,SingleMalt-like,Scotland,Malt
Longmorn 15yo,8.83,$$$$$,SingleMalt-like,Scotland,Malt
Longrow Red 12yo Pinot Noir Finish,8.83,$$$$$,SingleMalt-like,Scotland,Malt
Macallan 25yo Sherry Oak,8.83,$$$$$+,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 32),8.82,$$$$,SingleMalt-like,Scotland,Malt
Compass Box This is Not a Luxury Whisky,8.82,$$$$$,SingleMalt-like,Scotland,Malt
Glenmorangie Companta,8.82,$$$$$,SingleMalt-like,Scotland,Malt
Smogen Sherry Project 1:4,8.82,$$$$,SingleMalt-like,Sweden,Malt
Aberlour 12yo Non-Chill-Filtered,8.81,$$$,SingleMalt-like,Scotland,Malt
Bunnahabhain 14yo 2003 Pedro Ximenez Finish,8.81,$$$$$,SingleMalt-like,Scotland,Malt
Glenlivet Nadurra Cask Strength (NAS),8.81,$$$$,SingleMalt-like,Scotland,Malt
Laphroaig PX Triple Matured,8.81,$$$$,SingleMalt-like,Scotland,Malt
Amrut PX Sherry Single Cask (all casks),8.8,$$$$,SingleMalt-like,India,Malt
Balblair 1990 Second Release,8.8,$$$$$,SingleMalt-like,Scotland,Malt
Glengoyne Teapot Dram (all batches),8.8,$$$$$,SingleMalt-like,Scotland,Malt
Millstone 12yo Sherry Cask,8.8,$$$$,SingleMalt-like,Netherlands,Malt
Royal Brackla 21yo,8.8,$$$$$,SingleMalt-like,Scotland,Malt
Arran Malt Amarone Cask Finish,8.79,$$$,SingleMalt-like,Scotland,Malt
Bowmore 25yo,8.79,$$$$$+,SingleMalt-like,Scotland,Malt
GlenDronach Cask Strength (batch 5),8.79,$$$$,SingleMalt-like,Scotland,Malt
Green Spot Chateau Leoville Barton,8.79,$$$$,SingleMalt-like,Ireland,Blend
Highland Park Full Volume,8.79,$$$$,SingleMalt-like,Scotland,Malt
Kavalan Brandy Oak,8.79,$$$$$,SingleMalt-like,Taiwan,Malt
Glen Garioch 15yo Renaissance Chapter 1,8.78,$$$$,SingleMalt-like,Scotland,Malt
Glenmorangie Bacalta,8.78,$$$$$,SingleMalt-like,Scotland,Malt
